Timestamp,Program Studi,Tahun Masuk UIN Jakarta,Tahun Wisuda,Bulan Wisuda,Status saat ini,Waktu Mendapatkan Pekerjaan,Perusahaan,Posisi,Tahun Wirausaha,Bidang wirausaha,Penghasilan,Tahun Masuk S2,Universitas S2,Tahun Masuk S3,Universitas S3,Nama Prodi S2/S3,Kesesuaian Kurikulum,Kesesuaian Bidang Ilmu,Saran
2024-06-04 11:27:37,Prodi Agribisnis S1,2018,2024,Mei,sedang mencari kerja,,,,,,,,,,,,4,4,
2024-06-04 11:28:30,Prodi Agribisnis S1,2018,2024,Mei,Karyawan Swasta,6,AHHA Korpora Indonesia,Host Live,,,,,,,,,5,5,
2024-06-04 11:28:55,Prodi Agribisnis S1,2017,2024,Mei,sedang mencari kerja,3,,,,,,,,,,,4,4,
2024-06-04 11:29:04,Prodi Agribisnis S1,2019,2024,Mei,sedang mencari kerja,,,,,,,,,,,,4,4,
2024-06-04 11:30:08,Prodi Agribisnis S1,2018,2024,Mei,Pengajar,3,,,,,,,,,,,4,3,
2024-06-04 11:30:54,Prodi Agribisnis S1,2019,2024,Mei,sedang mencari kerja,,,,,,,,,,,,4,4,
2024-06-04 11:34:17,Prodi Kimia,2010,2014,November,ASN/PNS,3,Pemerintah Kota Tangerang Selatan,Pranata Laboratorium Kemetrologian Ahli Pertama,,,,2018,UI,,,Teknik Kimia,4,3,"Tingkatkan lagi perkuliahan dengan dosen tamu, bisa diisi oleh profesional atau alumni"
2024-06-04 12:04:36,Prodi Kimia,2019,2023,Februari,Karyawan Swasta,3,Monarch Multi Industries ,QC Head ,,,5000000,,,,,,3,3,
2024-06-04 12:07:40,Prodi Agribisnis S1,2018,2024,Mei,sedang mencari kerja,,,,,,,,,,,,4,4,
2024-06-05 15:37:22,Prodi Agribisnis S1,2019,2024,Mei,sedang mencari kerja,,,,,,,,,,,,5,4,
2024-06-06 08:37:12,Prodi Kimia,2019,2023,November,Karyawan Swasta,3,PT dunia rasa indah (Enesis Group),Rnd analyst AnDev ,,,5400000,,,,,,4,4,
2024-06-25 10:49:22,Prodi Kimia,2020,2024,Agustus,sedang mencari kerja,,,,,,,,,,,,4,4,
2024-06-26 14:36:05,Prodi Kimia,2011,2015,Agustus,Karyawan BUMN,3,"PT. Bank Mandiri (Persero), Tbk",Officer / Assisstant Manager,,,,,,,,,4,3,"Pada kurikulum bisa diinput materi terkait soft skills yg akan berguna di pekerjaan nantinya terutama terkait leadership, communication dan problem solving skills. "
2024-06-26 14:39:47,Prodi Kimia,2020,2024,Agustus,sedang mencari kerja,,,,,,,,,,,,5,4,
2024-06-26 14:42:03,Prodi Kimia,2019,2024,Mei,sedang mencari kerja,,,,,,,,,,,,5,5,
2024-06-26 14:43:08,Prodi Kimia,2008,2013,Februari,Karyawan Swasta,3,,Compliance APU PPT Senior Associate,,,12000000,,,,,,3,3,"banyak sekali ilmu dan pengalaman dari bapak dan ibu dosen maupun teman-teman. Lingkungan di kampus juga sangat nyaman. Selain itu, fasilitasnya juga lengkap sehingga sangat mendukung dan memudahkan para mahasiswa dalam kegiatan belajar.

Semoga walaupun mahasiswanya sudah lulus dari Prodi Kimia Kampus UIN, semoga pihak kampus terutama Prodi dapat memberikan ruang bagi para alumni untuk berkarier dan menuangkan kompetensinya."
2024-06-26 14:45:23,Prodi Kimia,2002,2009,Agustus,Karyawan Swasta,3,UIN Syarif Hidayatullah Jakarta,Laboran Kimia,,,6000000,,,,,,4,5,
2024-06-26 14:45:32,Prodi Kimia,2002,2007,Mei,Karyawan Swasta,6,UIN Syarif Hidayatullah ,Pengelola Laboratorium,,,6000000,,,,,,3,4,Lebih update lagi dengan lingkungan kerja di luar. Bila memang mau yang bekerja agar punya kompetensi yang bersaing. Bila melanjutkan studi ada program kerjasama dengan antar univ atau luar negeri. 
2024-06-26 14:45:58,Prodi Kimia,2011,2015,November,Karyawan BUMN,3,PT. Bank Mandiri (Persero) tbk,Mikro kredit Analis,,,5000000,,,,,,5,3,
2024-06-26 14:47:28,Prodi Kimia,2013,2017,Agustus,Karyawan Swasta,3,PT. Unza Vitalis,Supervisor,,,8000000,,,,,,3,4,
2024-06-26 14:49:44,Prodi Kimia,2011,2015,November,Pengajar,3,Sekolah Murid Merdeka,Tim Learning Coordinator dan Guru,,,5000000,,,,,,3,3,Terima Kasih untuk semua tim dosen yang memberikan ilmu baik secara akademik maupun pengalaman hidup. Tetap semangat untuk mencetak lulusan-lulusan terbaik dari FST khususnya prodi Kimia
2024-06-26 14:50:35,Prodi Kimia,2019,2024,Mei,sedang mencari kerja,,,,,,,,,,,,3,4,
2024-06-26 15:01:54,Prodi Kimia,2009,2014,Februari,Karyawan Swasta,3,PT. OTSUKA INDONESIA,Sales Eksekutif,,,8000000,,,,,,4,3,sukses selalu prodi kimia FST UIN
2024-06-26 15:10:17,Prodi Kimia,2019,2024,Agustus,sedang mencari kerja,,,,,,,,,,,,5,5,
2024-06-26 15:17:35,Prodi Kimia,2019,2024,Mei,sedang mencari kerja,,,,,,,,,,,,4,4,
2024-06-26 15:22:42,Prodi Kimia,2018,2023,November,Karyawan Swasta,3,PT Mitralab Buana ,Analis Laboratorium Lingkungan,,,5000000,,,,,,4,4,"Program magang (pkl) yang di wajibkan oleh prodi sangat membantu saya untuk lebih cepat beradaptasi di dunia kerja, akan lebih baik lagi jika penggunaan instrumen seperti GCMS dan HPLC dapat dilakukan praktikumnya di kampus dan di fasilitasi sertifikat keahlian penggunaan instrumen tersebut, terimakasih :)"
2024-06-26 16:09:37,Prodi Matematika,2020,2024,Mei,Karyawan Swasta,3,Karya Anugrah Teknologi,Telemarketing,,,4800000,,,,,,4,4,
2024-06-26 16:10:16,Prodi Matematika,2019,2023,Agustus,melanjutkan studi,3,,,,,,2024,UI,,,Matematika,5,5,
2024-06-26 16:10:46,Prodi Matematika,2018,2022,Februari,Karyawan Swasta,3,DLT Science Foundation,Staff Data Engineer,2022,ticketing services,10000000,,,,,,3,4,
2024-06-26 16:14:26,Prodi Matematika,2016,2021,Mei,melanjutkan studi,,,,,,,2021,UI,,,"Matematika, FMIPA",5,5,Materi pembelajaran yang Bapak/Ibu dosen berikan selama proses perkuliahan S1 sangat membantu saya dalam melanjutkan studi. Semoga prodi Matematika FST bisa terus berkembang menjadi lebih baik.
2024-06-26 16:16:25,Prodi Matematika,2019,2023,November,Karyawan Swasta,3,Astra Credit Companies,AR Support Analyst,,,7000000,,,,,,3,4,lebih memperbanyak waktu praktek di luar kampus untuk mendapat pengalaman lebih lama di lapangan kerja 
2024-06-26 16:27:06,Prodi Matematika,2019,2023,November,sedang mencari kerja,,,,,,,,,,,,4,4,
2024-06-26 16:30:00,Prodi Matematika,2018,2023,Agustus,Karyawan Swasta,3,PT Peniti Valasindo ,Grand Admin ,,,5000000,,,,,,2,2,
2024-06-26 16:41:17,Prodi Matematika,2014,2019,November,Karyawan Swasta,13,Astra Credit Companies,Admin,,,6000000,,,,,,3,3,
2024-06-26 16:45:41,Prodi Kimia,2019,2024,Mei,Pengajar,3,SMA Islam Al-Mukhlishin,Guru Honorer,,,1000000,,,,,,5,4,
2024-06-26 17:02:12,Prodi Matematika,2015,2020,November,Karyawan Swasta,6,PT Indosiar Visual Mandiri ,Officer planning,,,,,,,,,4,4,
2024-06-26 17:12:49,Prodi Kimia,2019,2024,Mei,sedang mencari kerja,,,,,,,,,,,,5,3,Selama berada di FST terutama prodi Kimia sangat menekankan pengembangan ilmu melalui Kuliah Umum dan lain-lain. Alangkah baiknya diperbanyak dalam  kerjasama pelatihan-pelatihan untuk kerja bagi prodi Kimia di lingkungan kerja misal Sistem Managemen Laboratorium dsb.
2024-06-26 17:39:52,Prodi Kimia,2018,2023,Februari,Wirausaha,,,,2022,"NayaOutfit : Usaha di bidang fashion muslimah dengan memenafaatkan e-commerce shopee, tiktok, lazada... Faeyzabouquet: membuat kerajinan buket dengan jangkauan yang cukup luas... Famanany_style : fashion anak muda namun sedang tidak beroperasi",10000000,,,,,,3,3,
2024-06-26 17:43:43,Prodi Kimia,2008,2012,Februari,Karyawan Swasta,3,PT. DKSH Indonesia,Manager Technical Lab,,,25000000,,,,,,4,4,Kurikulum di kuliah baik teori maupun praktek sesuai dengan kebutuhan industri yang saya geluti
2024-06-26 17:45:31,Prodi Matematika,2020,2024,Februari,Karyawan Swasta,3,PT Honda Trading Indonesia,Niguri Steel Procurement,,,9000000,,,,,,3,4,"Dari apa yang telah saya kerjakan di dunia pekerjaan, teori-teori dari apa yang telah saya pelajari sangat banyak yang tidak terpakai, alangkah lebih baiknya, perbanyak case study karena mhs akan lebih mudah menyesuaikan dengan dunia pekerjaan nantinya. walaupun mhs akan melanjutkan ke jenjang S2 atau lebih tinggi, case study sangat membantu dalam memahami materi🙏"
2024-06-26 18:24:17,Prodi Matematika,2018,2023,Februari,Karyawan Swasta,3,PT Tenos Data Teknologi,Lead Data Analyst,,,5000000,,,,,,4,5,
2024-06-26 18:27:04,Prodi Matematika,2015,2020,Februari,Karyawan Swasta,13,PT IMPACT PROJECT PT KALDU SARI NABATI INDONESIA,DATA ANALIS,,,7000000,,,,,,4,4,
2024-06-26 18:30:17,Prodi Matematika,2015,2021,Februari,Karyawan Swasta,6,PT Agres Info Teknologi,Admin Staf,,,5000000,,,,,,3,3,
2024-06-26 18:31:02,Prodi Matematika,2009,2015,November,Pengajar,3,"Yayasan Tunas Bangsa Insan Mandiri, Yayasan Akselerasi Islami Siswa Indonesia","Sekertaris Yayasan, Ketua Yayasan",2019,Pendidikan / Training,6200000,,,,,,4,4,SELURUH Prodi buka Paska Sarjana
2024-06-26 18:34:58,Prodi Matematika,2017,2022,November,Karyawan Swasta,3,Independence Research Operational Partner ,Staff,,,4000000,,,,,,4,4,
2024-06-26 18:41:10,Prodi Matematika,2017,2023,Mei,Pengajar,3,,,,,5000000,,,,,,5,4,
2024-06-26 18:50:00,Prodi Matematika,2016,2022,Mei,Karyawan Swasta,3,MNC Vision+,Data Engineer,,,,,,,,,4,4,
2024-06-26 18:58:06,Prodi Matematika,2011,2015,Agustus,Karyawan Swasta,3,,,,,,2019,Innopolis University,,,Data Science,5,5,
2024-06-26 19:01:45,Prodi Matematika,2014,2019,Februari,Pengajar,3,Universitas Islam Negeri Sultan Maulana Hasanuddin Banten,Sekertaris Jurusan,,,9000000,2019,UI,,,Matematika,4,5,Meningkatkan kerjasama dengan industri
2024-06-26 19:03:12,Prodi Agribisnis S2,2021,2023,Agustus,ASN/PNS,,Kementerian Pertanian,Koodinator Kelompok Subtansi Kelembagaan Pembiayaan,,,15000000,,,,,,3,4,Penyesuaian kurikulum sejalan dengan perkembangan agribisnis dengan tetap mencatumkan agribisnis secara syariah
2024-06-26 19:10:27,Prodi Agribisnis S2,2019,2023,November,ASN/PNS,3,BAPANAS,Kepala Sub Koordinator,,,11000000,,,,,,5,5,Semoga FST UIN menghasilkan lulusan handal yang jauh lebih profesional dengan metode pengembangan kurikulum berbasis teknologi pertanian
2024-06-26 19:40:39,Prodi Matematika,2017,2022,November,Pengajar,3,Pribadi Depok Bilingual School,Guru Matematika,,,4000000,,,,,,4,4,
2024-06-26 19:41:18,Prodi Matematika,2019,2023,Februari,Pengajar,3,,,,,,,,,,,4,4,
2024-06-26 19:46:31,Prodi Matematika,2015,2022,Mei,,3,,,,,,,,,,,5,3,
2024-06-26 19:46:54,Prodi Matematika,2016,2021,November,melanjutkan studi,3,,,,,,2024,UI,,,Matematika,4,4,
2024-06-26 19:48:48,Prodi Matematika,2020,2024,Februari,melanjutkan studi,,,,,,,2024,IPB,,,Statistika dan Sains Data,4,4,
2024-06-26 19:50:16,Prodi Matematika,2018,2023,Agustus,Karyawan Swasta,3,Madinah Group Indonesia,Staff Teknis,2014,KOS,10000000,,,,,,5,5,
2024-06-26 19:51:17,Prodi Matematika,2019,2023,Februari,Karyawan Swasta,3,PT. Mitra Adiperkasa Tbk.,Data Analyst,,,,,,,,,5,5,
2024-06-26 19:52:45,Prodi Matematika,2018,2023,Agustus,Internship,3,PT Eka Jaya Internasional,Document Controller Intern,,,3000000,,,,,,4,4,"Untuk sekarang sistem nya sudah lebih baik dan lebih jelas flow nya sehingga mahasiswa juga lebih mudah kalau butuh info dari prodi, terima kasih pak bu"
2024-06-26 20:03:43,Prodi Matematika,2002,2006,November,Karyawan Swasta,3,Universitas Pamulang ,Dosen,,,11000000,2008,Universitas Mercubuana ,,,Manajemen,4,4,
2024-06-26 20:08:01,Prodi Kimia,2019,2024,Februari,sedang mencari kerja,,,,,,,,,,,,5,5,"Untuk penjadwalan seminar proposal, seminar hasil, dan sidang mohon sistemnya diperbaiki. Karena kebanyakan mahasiswa sudah siap tetapi kesulitan mendapatkan jadwal karena harus mencari jadwal sendiri dari 4 dosen, apalagi 1 dosen memegang banyak mahasiswa sehingga jadwal rebutan dan bentrok menyebabkan kelulusan makin lama bahkan sampai harus menambah semester lagi hanya untuk mendapatkan jadwal. Jika penjadwalan lebih efektif memungkinkan akan banyak mahasiswa yang lulus tepat waktu atau bahkan sebelum waktunya. "
2024-06-26 20:09:00,Prodi Matematika,2009,2013,November,Mengurus Rumah Tangga,3,,,,,,,,,,,4,4,Tambah kurikulum tentang penerapan matematika dalam segala bidang
2024-06-26 20:12:46,Prodi Matematika,2004,2008,Februari,ASN/PNS,3,,,,,,,,,,,5,5,
2024-06-26 20:22:33,Prodi Matematika,2009,2013,November,Karyawan Swasta,3,PT. Johnson Home Hygiene Product,Category Management,,,,,,,,,4,3,
2024-06-26 20:24:53,Prodi Matematika,2018,2023,Agustus,Karyawan Swasta,3,PT. Kinarya Alihdaya Mandiri,Data Analitics,,,5000000,,,,,,3,3,
2024-06-26 20:29:30,Prodi Matematika,2015,2020,November,Karyawan Swasta,3,PT. Mulia Sawit Agro Lestari,Research & Development Officer,,,5200000,,,,,,3,3,
2024-06-26 20:47:27,Prodi Matematika,2015,2020,Februari,Karyawan Swasta,6,,,,,,,,,,,3,4,"latihan mengerjakan study case di industri, terutama utk bidang yg berhubungan dgn data analisis, didorong utk ikut hackathon. kesannya saya sangat terbantu dgn materi kuliah query dan analisis modeling (diajarkan pak taufik) shg itu membekas di benak saya, sbg bahan nostalgia juga"
2024-06-26 21:01:06,Prodi Matematika,2016,2022,November,Karyawan Swasta,3,YAMADA Consulting & Spire Indonesia ,Consumer Research Consultant ,,,,,,,,,4,3,
2024-06-26 21:02:50,Prodi Matematika,2015,2020,Mei,Mengurus Rumah Tangga,3,,,,,,,,,,,4,4,
2024-06-26 21:39:53,Prodi Matematika,2019,2023,November,Karyawan Swasta,3,KSP Sehati Makmur Abadi,Internal Auditor,,,6000000,,,,,,4,5,
2024-06-26 21:52:08,Prodi Kimia,2019,2023,November,Karyawan Swasta,3,Bimbel Gama UI,Asisten Manager,,,,,,,,,4,3,
2024-06-26 22:07:33,Prodi Matematika,2020,2024,Mei,melanjutkan studi,,,,,,,2024,IPB,,,Statistika dan Data Sains,4,4,"Saya berharap pengembangan fasilitas, baik fasilitas akademik maupun penyediaan mushalla perempuan, dan kamar mandi ditingkatkan, terlebih ini FST, rasanya disayangkan apabila lab (terkhusus matematika) belum mampu untuk membantu proses pembelajaran, proyektor yang terkadang bisa digunakan kadang tidak, ruangan gelap, dan sebagainya. Saya sangat berharap FST memiliki fasilitas yang mencerminkan Sains dan Teknologi"
2024-06-27 04:55:00,Prodi Kimia,2017,2023,Mei,Karyawan Swasta,6,PT Bahana Hannela Massima,Quality Control,,,,,,,,,3,3,
2024-06-27 06:53:36,Prodi Matematika,2017,2023,Februari,sedang mencari kerja,3,"Dinas Cipta Karya, Tata Ruang, dan Pertanahan Provinsi DKI Jakarta",Data Analyst,,,,,,,,,4,4,"Kurikulum yang disediakan oleh jurusan sesuai dan dapat menunjang saya sebagai Data Analyst. Terumata untuk MK Statistika Spasial, karena saya berada di Dinas yang berfokus di tata ruang wilayah. Saran saya, akan lebih baik lagi jika pada MK pilihan ditambah bidang ilmu lain seperti bioinformatika, biostatistik"
2024-06-27 07:34:22,Prodi Matematika,2018,2023,Agustus,Karyawan Swasta,3,Shopee Indonesia,BD - Price Match,,,,,,,,,3,3,
2024-06-27 07:49:22,Prodi Matematika,2020,2024,Februari,sedang mencari kerja,,,,,,,,,,,,3,3,"Untuk bidang aktuaria, mungkin bisa lebih ditingkatkan kembali"
2024-06-27 08:45:54,Prodi Kimia,2010,2016,Agustus,Pengajar,3,SMA Muhammadiyah 3 Jakarta,Guru Kimia,,,,,,,,,5,5,
2024-06-27 15:43:22,Prodi Agribisnis S2,2020,2023,Mei,ASN/PNS,6,Universitas Terbuka,Dosen (Asisten Ahli),,,5000000,,,,,,5,3,"Mohon komunikasi internal organisasi di antara dosen dapat ditingkatkan. Sebaiknya dosen yang setengah hati dalam melaksanakan tugas pembelajaran tidak dilibatkan dalam perkuliahan, karena sangat menghambat dalam mencapai kompetensi mata kuliah. Sukses selalu prodi magister agribisnis."
2024-06-28 07:04:29,Prodi Kimia,2019,2023,November,Karyawan Swasta,3,PT Haloni Jane,Quality Control Analyst ,,,5000000,,,,,,4,4,
2024-06-28 13:26:19,Prodi Kimia,2002,2007,Februari,Karyawan BUMN,6,,,,,5000000,,,,,,4,4,
2024-06-28 14:59:29,Prodi Agribisnis S2,2019,2021,Agustus,ASN/PNS,,Pt. Citra niaga pangan,Ketua Tim Kerja,2021,trading agribisnis,10000000,2019,,,,,5,5,Lebih di percepat
2024-06-28 15:01:13,Prodi Matematika,2017,2022,Februari,sedang mencari kerja,6,,,,,,,,,,,5,5,"Prodi Matematika UIN Jakarta bersama Fakultas dapat bekerja sama dengan Organisasi Persatuan Aktuaris Indonesia, Perusahaan BUMN ataupun Perusahaan Swasta untuk persiapan karir setelah lulus nanti. Bisa mengadakan kegiatan career fair , perekrutan awal ke dalam posisi tertentu atau kerja sama dengan Persatuan Aktuaris Indonesia dalam mengonversi nilai mata kuliah aktuaria ke dalam ujian PAI sesuai mata kuliahnya. Hal ini sangat efektif membantu adik-adik mahasiswa dalam memudahkan perjalanan karirnya setelah lulus nanti. Saya sangat mengapresiasi perkembangan pada prodi matematika saat ini yang semakin dinamis dalam menghadapi perkembangan zaman. Terima kasih Bapak/Ibu, sukses selalu untuk kita semua."
2024-06-28 15:03:09,Prodi Agribisnis S2,2019,2023,Agustus,melanjutkan studi,,,,,,,,,,,,5,5,
2024-06-28 15:15:59,Prodi Matematika,2017,2022,November,Karyawan Swasta,3,Kadence International,Research Executive,,,6000000,,,,,,3,3,
2024-06-28 15:28:11,Prodi Agribisnis S2,2020,2023,Mei,Wirausaha,3,PT. Jagad Raya Konstindo,Tenaga Ahli,2011,Jasa Konsultan,,,,,,,4,4,"Tetap pertahankan matakuliah dimasukkan kaidah ke islaman, semakin maju FST UIN Jakarta"
2024-06-28 15:29:48,Prodi Matematika,2017,2023,Agustus,Wirausaha,3,,,2021,"Usaha kuliner, menjual aneka dimsum dengan berbagai toping dijual secara offline maupun online",,,,,,,3,3,
2024-06-28 15:33:47,Prodi Agribisnis S2,2019,2023,Agustus,ASN/PNS,3,Pusat Laboratorium Terpadu - UIN Syarif Hidayatullah Jakarta,Koordinator Bidang Lab. IPA dan Agribisnis,,,8000000,,,,,,5,5,
2024-06-28 15:36:57,Prodi Matematika,2006,2010,Mei,Karyawan Swasta,3,PT. Aladin Bank Syariah,ETL Developer,,,18000000,,,,,,4,3,Lebih banyak praktik lapangan
2024-06-28 15:51:11,Prodi Matematika,2017,2023,Februari,Karyawan Swasta,3,PT. Karya Utama Integritas,Research Executive,,,5000000,,,,,,5,3,
2024-06-28 16:02:28,Prodi Matematika,2017,2022,Mei,Pengajar,3,,Guru,,,,,,,,,4,4,Semoga menjadi semakin baik lagi kedepannya perihal penunjang fasilitas yang dibutuhkan mahasiswa dalam proses perkuliahan.
2024-06-28 16:18:42,Prodi Matematika,2015,2020,Mei,Karyawan Swasta,13,Hypernet Technologies,Sales Performance Monitoring,,,7000000,2020,Kwik Kian Gie School of Business,,,Magister Management,4,4,"- Fasilitas kampus yang modern dan lingkungan yang aman membuat pengalaman saya di sini menjadi sangat menyenangkan
- Ilmu yang dipelajari selama kuliah relevan dan banyak terpakai di dunia kerja
- Lebih banyak mengadakan seminar dengan narasumber praktisi untuk memperkuat hubungan universitas dengan industri. Ini bisa menjadi langkah awal untuk berbagai bentuk kolaborasi, seperti proyek penelitian bersama, program magang, atau peluang kerja bagi lulusan."
2024-06-28 16:35:43,Prodi Agribisnis S2,2020,2023,Mei,ASN/PNS,3,Kementerian Pertanian,Analis Prasarana dan Sarana Pertanian,,,9000000,,,,,,5,5,"Sejauh ini sudah baik, seluruh dosen dan admin sangat membanti proses belajar sampai dengan sidang tesis. Jika memungkinkan adakan program internship selama 6 s.d. 12 bulan baik dalam maupun luar negeri swsuai dengan minat dan bakat mahasiswa"
2024-06-28 16:48:22,Prodi Biologi,2007,2012,Februari,Karyawan Swasta,3,PT. Tiga Ragam Dentraindo,Manager Operasional,,,,2022,UNKRIS,,,Magister Manajemen,4,4,
2024-06-28 16:58:41,Prodi Fisika,2013,2019,Agustus,Karyawan Swasta,13,MEDCO EP INDONESIA,Reliability Data Analyst,,,8000000,,,,,,3,3,
2024-06-28 16:58:58,Prodi Fisika,2018,2022,Agustus,Karyawan Swasta,3,,,,,5000000,,,,,,3,1,
2024-06-28 17:00:58,Prodi Fisika,2011,2015,November,melanjutkan studi,3,UIN Syarif Hidayatullah Jakarta,Dosen Tidak Tetap,,,,2016,UI,2024.0,University of Groningen,"Ilmu Fisika, Graduate School of Science and Engineering",5,5,Laboratorium riset khusus dosen-dosen Fisika mohon diadakan.
2024-06-28 17:08:22,Prodi Fisika,2016,2021,Mei,Karyawan Swasta,3,PT Testana Indoteknika,Administrasi Operasional ,,,5000000,,,,,,4,3,semoga prodi fisika tetap membanggakan dan semakin baik lagi kedepannya
2024-06-28 17:10:21,Prodi Fisika,2017,2021,November,Karyawan Swasta,3,PT Equnix Business Solutions,Human resources administrator,,,,,,,,,3,3,
2024-06-28 17:13:13,Prodi Fisika,2016,2021,Mei,melanjutkan studi,3,,,,,7000000,2023,UI,,,"Departemen Fisika, Prodi S2 Fisika, Konsentrasi Geofisika Reservoir",5,5,
2024-06-28 17:16:34,Prodi Fisika,2005,2011,Februari,Karyawan Swasta,3,Medco Energi,Electrical &Instrument Inspector,,,32000000,,,,,,4,4,"Pembahasan nilai bahasa dan konsep teknik yang perlu dipelajari oleh mahasiswa diluar dari mata kuliah untuk mengenal dunia Industri, bagi yang berminat mengarah ke dunia industrial baik industri Oil&Gas, Mining, Chemical ataupun Power Plant."
2024-06-28 17:22:01,Prodi Fisika,2016,2021,Februari,Wirausaha,3,GeoXplore Indonesia dan Alpi's Private,Founder Alpi's Private dan Co-founder GeoXplore Indonesia,2021,"Membuka les privat bagi siswa SD-SMA di bidang matematika, fisika, kimia, dan menjadi co-founder GeoXplore Indonesia",,,,,,,4,4,
2024-06-28 17:24:53,Prodi Fisika,2016,2021,Februari,Karyawan BUMN,6,PT Bank Mandiri (Persero) Tbk,Cust Service Administrative,,,49000000,,,,,,4,4,
2024-06-28 17:26:24,Prodi Fisika,2016,2020,Agustus,Karyawan Swasta,3,PT. Minelog Services Indonesia ,Kepala Divisi Geofisika ,2022,Explorasi Geofisika khususnya air tanah menggunakan metode elektromagnetik ,10000000,,,,,,2,4,"Menurut saya dari prodi fisika harus banyak memiliki dosen praktisi industri agar yang diberikan adalah ilmu terapan langsung di lapangan dan menjelaskan pengalaman-pengalaman di industri 

Banyak melakukan kerja sama dengan instansi-instansi yang berkaitan dengan prodi fisika agar lulusan prodi fisika bisa mengembangkan skill di instansi-instansi tersebut 

Melakukan kegiatan yang mengundang alumni agar mahasiswa serta dosen dekat dengan alumni-alumni dan bisa menjalin kerja sama "
2024-06-28 17:33:48,Prodi Fisika,2018,2022,Agustus,Karyawan Swasta,3,PT. Edrus Strategi Digital,Task Manager Officer,,,,,,,,,4,3,"- Pembelajaran yang lebih berfokus terhadap hasil analisa kebutuhan lapangan pekerjaan dengan diiringi sertifikasi kemampuan 
- Membangun hubungan dengan setiap alumni secara personal dibantu oleh hima bukan secara global saja
- Memberdayakan alumni di banyak kegiatan tidak satu atau dua saja tiap tahunnya
- melakukan uji kemampuan dan minat kepada mahasiswa sedari awal masuk secara berkala"
2024-06-28 17:33:52,Prodi Fisika,2014,2018,Februari,Pengajar,3,Wafiq Digital Tech,Dosen di Kampus STT STIKMA Malang,2019,Konsultan IT ,5000000,2020,Politeknik Elektronika Negeri Surabaya,,,S2 Teknik Informatika Komputer,4,3,"Kerja sama dengan instansi dalam maupun luar negeri lebih ditingkatkan, "
